Practice Code,Practice Name,Practice_Address_Line_1,Practice_Address_Line_2,Practice_Address_Line_3,Practice_Address_Line_4,Postcode,Telephone,Eastings,Northings,Longitude,Latitude,Total Registered List,Total patients per GP,Male GPs,Female GPs,0-14 (%),15-44 (%) ,45-74 (%),75+ (%),Deprivation level,ALL STAR RATING,OVERVIEW - OVERALL STAR RATING,Would you recommend your GP surgery? Rating,Would you recommend your GP surgery? respondents,Patient satisfaction with opening hours  rating,Patient satisfaction with opening hours  respondents,How helpful was the receptionist? Rating,How helpful was the receptionist? respondents,DOCTOR: overall star rating,Were you able to see a doctor within 2 working days? Rating,Were you able to see a doctor within 2 working days? respondents,Patient confidence and trust in the doctor  rating,Patient confidence and trust in the doctor  respondents,Did the doctor involve you in decisions about your care? Rating,Did the doctor involve you in decisions about your care? respondents,NURSE: overall star rating,Was it easy to get an appointment with a  nurse? Rating,Was it easy to get an appointment with a  nurse? respondents,Did the nurse explain tests & treatments? Rating,Did the nurse explain tests & treatments? respondents,Did the nurse treat patients with care & concern? Rating,Did the nurse treat patients with care & concern? respondents,OUTCOMES: overall star rating,Were eligible women screened? Rating,Were eligible women screened? Number of patients,Were blood pressure tests recently completed for patients with coronary heart disease? Rating,Were blood pressure tests recently completed for patients with coronary heart disease? Number of patients,Were asthma patients recently given an asthma review? Rating,Were asthma patients recently given an asthma review? Number of patients,Did cancer patients recently have a cancer review? Rating,Did cancer patients recently have a cancer review? Number of patients,Was retinal screening recently completed for diabetes patients? Rating,Was retinal screening recently completed for diabetes patients? Number of patients,OVERALL: Prevalence,Hypertension Value,Number of patients with Hypertension Number of patients,Stroke Value,Number of patients with Stroke Number of patients,Coronary Heart Disease Value,Number of patients with Coronary Heart Disease Number of patients,Chronic Obstructive Pulmonary Disease Value,Number of patients with Chronic Obstructive Pulmonary Disease Number of patients
A12384,RANDOM PRACTICE 40,ADDRESS LINE ONE - 40,40 MAIN STREET,CITY NAME 40,REGION NAME 40,NE28 6RZ,01273 567890,429612,566205,-1.53716,54.98948," 12,386 "," 1,376 ", 4 , 5 ,14.2%,39.3%,38.2%,8.3%,2,2.5,2.5,2.5, 457 ,4, 457 ,1, 454 ,4.5,3.5, 273 ,4, 460 ,4.5, 416 ,2,3.5, 315 ,1.5, 323 ,2, 343 ,1.5,1.5," 2,437 ",3.5, 642 ,0.5, 544 ,2, 19 ,2, 557 ,1.5,1.5," 3,367 ", 2.0 , 284 , 1.5 , 675 , 1.0 , 531 
A12385,RANDOM PRACTICE 41,ADDRESS LINE ONE - 41,41 MAIN STREET,CITY NAME 41,REGION NAME 41,NE29 0SF,01274 567890,434850,568653,-1.454994,55.011141," 16,477 "," 1,373 ", 5 , 7 ,16.2%,39.0%,36.3%,8.5%,2,3.5,5,5, 576 ,5, 572 ,4.5, 563 ,3.5,2, 330 ,4, 580 ,4.5, 537 ,4,2.5, 444 ,4, 429 ,3.5, 450 ,3.5,4.5," 3,189 ",1.5, 751 ,2.5, 772 ,2, 44 ,4, 695 ,1.5,2," 4,396 ", 2.0 , 376 , 1.5 , 895 , 1.0 , 695 
A12386,RANDOM PRACTICE 42,ADDRESS LINE ONE - 42,42 MAIN STREET,CITY NAME 42,REGION NAME 42,NE26 2ND,01275 567890,435894,572033,-1.438244,55.041441," 11,964 "," 1,709 ", 5 , 2 ,14.1%,34.9%,40.6%,10.5%,4,4,5,5, 451 ,4, 421 ,4.5, 448 ,5,4.5, 251 ,5, 460 ,5, 420 ,5,2.5, 359 ,4.5, 354 ,5, 362 ,3,4.5," 2,396 ",1.5, 536 ,0.5, 375 ,5, 51 ,2.5, 450 ,1.5,1.5," 3,276 ", 1.5 , 289 , 2.0 , 608 , 1.0 , 452 
A12387,RANDOM PRACTICE 43,ADDRESS LINE ONE - 43,43 MAIN STREET,CITY NAME 43,REGION NAME 43,NE26 1NA,01276 567890,435172,572556,-1.449478,55.046193," 6,221 "," 1,244 ", 2 , 3 ,13.1%,33.4%,41.2%,12.3%,4.5,4,4,4.5, 235 ,3, 233 ,4.5, 235 ,4.5,4.5, 133 ,4, 240 ,4, 205 ,5,2, 169 ,5, 174 ,5, 187 ,4.5,5," 1,220 ",0.5, 264 ,4, 291 ,2, 29 ,4, 269 ,1,1," 1,813 ", 1.0 , 165 , 1.5 , 343 , 1.0 , 249 
A12388,RANDOM PRACTICE 44,ADDRESS LINE ONE - 44,44 MAIN STREET,CITY NAME 44,REGION NAME 44,NE12 9BQ,01277 567890,427749,569621,-1.565946,55.020286," 11,518 "," 1,440 ", 5 , 3 ,16.0%,37.9%,37.3%,8.8%,3.5,3.5,4.5,5, 414 ,4.5, 424 ,3, 426 ,4.5,5, 255 ,4.5, 428 ,2.5, 363 ,1.5,1.5, 270 ,2, 284 ,2, 299 ,5,2," 2,351 ",3.5, 523 ,5, 430 ,5, 29 ,4, 434 ,2,2," 3,069 ", 2.5 , 241 , 2.5 , 545 , 1.0 , 440 
A12389,RANDOM PRACTICE 45,ADDRESS LINE ONE - 45,45 MAIN STREET,CITY NAME 45,REGION NAME 45,NE26 3LW,01278 567890,434804,572303,-1.455269,55.043945," 7,121 "," 1,780 ", 1 , 3 ,19.6%,38.2%,34.0%,8.2%,4.5,2.5,3,3.5, 242 ,3.5, 235 ,2, 239 ,2.5,1, 128 ,4.5, 244 ,4, 215 ,2,4.5, 158 ,1.5, 161 ,1.5, 174 ,2,2.5," 1,494 ",0.5, 252 ,1.5, 278 ,2, 34 ,4.5, 258 ,3,3.5," 1,662 ", 3.0 , 141 , 3.5 , 292 , 2.0 , 227 
A12390,RANDOM PRACTICE 46,ADDRESS LINE ONE - 46,46 MAIN STREET,CITY NAME 46,REGION NAME 46,NE29 0HT,01279 567890,435242,568516,-1.448881,55.009882," 14,810 "," 2,116 ", 3 , 4 ,15.8%,40.3%,36.8%,7.1%,3,2,1.5,1.5, 529 ,2.5, 524 ,1.5, 540 ,2.5,2.5, 284 ,2.5, 522 ,2.5, 457 ,3,4, 393 ,2.5, 395 ,2.5, 414 ,1.5,1.5," 3,251 ",1, 539 ,1, 508 ,2, 14 ,4.5, 557 ,2,2," 3,846 ", 2.5 , 311 , 2.0 , 754 , 1.0 , 609 
A12391,RANDOM PRACTICE 47,ADDRESS LINE ONE - 47,47 MAIN STREET,CITY NAME 47,REGION NAME 47,NE25 9XJ,01280 567890,433746,572746,-1.471775,55.048," 6,605 "," 1,321 ", 1 , 4 ,15.8%,34.5%,39.9%,9.8%,4.5,3,2.5,2.5, 234 ,2.5, 230 ,2, 237 ,4,2.5, 114 ,4.5, 232 ,4, 209 ,5,4.5, 182 ,3.5, 170 ,4, 185 ,2,2.5," 1,385 ",1, 260 ,2.5, 295 ,2, 26 ,2, 271 ,2,2," 1,734 ", 2.0 , 149 , 2.5 , 313 , 1.5 , 238 
A12392,RANDOM PRACTICE 48,ADDRESS LINE ONE - 48,48 MAIN STREET,CITY NAME 48,REGION NAME 48,NE13 6LN,01281 567890,424088,572704,-1.62295,55.048184," 7,038 "," 1,760 ", 2 , 2 ,15.7%,34.9%,38.3%,11.1%,2.5,1.5,1,1, 253 ,1.5, 246 ,1, 238 ,1.5,1, 127 ,2, 254 ,2.5, 229 ,3,5, 202 ,1.5, 205 ,1.5, 212 ,0.5,4," 1,282 ",1, 429 ,0.5, 275 ,2.5, 24 ,0.5, 263 ,1.5,1," 2,083 ", 1.0 , 192 , 1.0 , 453 , 2.0 , 235 
A12393,RANDOM PRACTICE 49,ADDRESS LINE ONE - 49,49 MAIN STREET,CITY NAME 49,REGION NAME 49,NE28 0AD,01282 567890,432102,567006,-1.498152,54.996524," 9,954 "," 1,244 ", 3 , 5 ,17.8%,40.6%,34.5%,7.2%,1.5,4,4,5, 349 ,3, 349 ,4, 349 ,5,4.5, 188 ,5, 355 ,4.5, 323 ,4,1.5, 273 ,4, 256 ,4.5, 277 ,5,5," 2,086 ",3, 506 ,4.5, 614 ,2.5, 26 ,1.5, 447 ,2.5,3," 2,464 ", 3.0 , 203 , 2.5 , 478 , 1.0 , 385 
A12394,RANDOM PRACTICE 50,ADDRESS LINE ONE - 50,50 MAIN STREET,CITY NAME 50,REGION NAME 50,NE27 0HJ,01283 567890,431659,571623,-1.504566,55.038045," 4,050 "," 1,350 ", 1 , 2 ,17.1%,42.0%,32.6%,8.3%,2.5,1.5,1.5,2, 126 ,1.5, 122 ,2.5, 127 ,1.5,1, 66 ,2, 126 ,2.5, 111 ,3,3, 102 ,3, 96 ,3, 104 ,0.5,2, 771 ,1.5, 200 ,1.5, 141 ,0.5, 5 ,0.5, 138 ,2,2.5," 1,017 ", 2.0 , 88 , 2.0 , 208 , 1.0 , 163 
A12395,RANDOM PRACTICE 51,ADDRESS LINE ONE - 51,51 MAIN STREET,CITY NAME 51,REGION NAME 51,NE29 0SF,01284 567890,434850,568653,-1.454994,55.011141," 6,033 "," 1,508 ", 2 , 2 ,13.8%,34.6%,39.8%,11.8%,2.5,3.5,5,4.5, 225 ,5, 219 ,5, 230 ,4.5,3.5, 123 ,4.5, 221 ,5, 193 ,3,1, 190 ,4.5, 175 ,3.5, 192 ,4.5,3," 1,213 ",1, 311 ,4.5, 235 ,5, 12 ,3, 345 ,1,1," 1,846 ", 1.0 , 169 , 1.0 , 397 , 1.0 , 292 
A12396,RANDOM PRACTICE 52,ADDRESS LINE ONE - 52,52 MAIN STREET,CITY NAME 52,REGION NAME 52,NE28 6BB,01285 567890,430215,566978,-1.527653,54.99639," 9,862 "," 1,233 ", 5 , 3 ,15.5%,39.9%,36.8%,7.8%,2,2.5,1.5,1.5, 356 ,3, 364 ,1, 357 ,3,4.5, 226 ,1.5, 366 ,2, 334 ,2,3.5, 283 ,2, 277 ,1.5, 288 ,4.5,4.5," 2,037 ",2, 480 ,3.5, 529 ,5, 15 ,2.5, 439 ,2,2," 2,587 ", 2.0 , 214 , 2.0 , 516 , 1.0 , 411 
A12397,RANDOM PRACTICE 53,ADDRESS LINE ONE - 53,53 MAIN STREET,CITY NAME 53,REGION NAME 53,NE13 6JJ,01286 567890,423816,572468,-1.627228,55.046076," 5,402 "," 1,351 ", 2 , 2 ,13.9%,33.4%,41.0%,11.7%,3.5,1.5,1,0.5, 202 ,1, 199 ,2, 193 ,1.5,1.5, 130 ,1.5, 206 ,2, 176 ,0.5,2, 158 ,0.5, 158 ,0.5, 165 ,3.5,4.5," 1,128 ",4.5, 261 ,2.5, 239 ,5, 12 ,1.5, 245 ,1.5,1," 1,657 ", 1.0 , 138 , 1.0 , 312 , 2.5 , 166 
A12398,RANDOM PRACTICE 54,ADDRESS LINE ONE - 54,54 MAIN STREET,CITY NAME 54,REGION NAME 54,NE29 0DZ,01287 567890,435195,568432,-1.449627,55.00913," 6,098 "," 1,220 ", 3 , 2 ,14.3%,38.1%,38.0%,9.7%,2,2.5,1.5,1.5, 226 ,2, 224 ,1, 217 ,1,1, 121 ,1, 225 ,1, 196 ,3.5,3.5, 198 ,3.5, 191 ,3, 201 ,4.5,3," 1,221 ",5, 337 ,3.5, 323 ,5, 14 ,4.5, 270 ,1,1," 1,736 ", 1.0 , 153 , 1.0 , 362 , 1.0 , 275 
A12399,RANDOM PRACTICE 55,ADDRESS LINE ONE - 55,55 MAIN STREET,CITY NAME 55,REGION NAME 55,NE25 9PH,01288 567890,433819,571517,-1.470778,55.03695," 8,716 "," 1,245 ", 3 , 4 ,15.9%,35.6%,39.4%,9.1%,4.5,3,3.5,4, 317 ,4, 311 ,1.5, 315 ,4.5,4, 184 ,4, 312 ,4, 296 ,3,3, 274 ,3, 268 ,3, 277 ,1,3," 1,855 ",1, 352 ,1.5, 408 ,1.5, 35 ,1, 276 ,2.5,2.5," 2,221 ", 2.5 , 187 , 3.0 , 393 , 1.5 , 302 
A12400,RANDOM PRACTICE 56,ADDRESS LINE ONE - 56,56 MAIN STREET,CITY NAME 56,REGION NAME 56,NE27 0HJ,01289 567890,431659,571623,-1.504566,55.038045," 5,057 "," 1,686 ", 2 , 1 ,18.6%,42.5%,33.2%,5.7%,2.5,3,4,4, 176 ,5, 174 ,2, 177 ,3,1, 91 ,4.5, 175 ,4.5, 158 ,2.5,3, 126 ,2.5, 115 ,2.5, 123 ,2,4.5, 972 ,3.5, 174 ,4, 199 ,0.5, 5 ,4.5, 174 ,3,3.5," 1,175 ", 3.5 , 92 , 3.0 , 225 , 1.5 , 187 
A12401,RANDOM PRACTICE 57,ADDRESS LINE ONE - 57,57 MAIN STREET,CITY NAME 57,REGION NAME 57,NE27 0HJ,01290 567890,431659,571623,-1.504566,55.038045," 5,937 "," 1,484 ", 3 , 1 ,18.7%,40.0%,34.1%,7.2%,3,2.5,4,3, 209 ,4, 179 ,4.5, 202 ,2.5,4.5, 110 ,1.5, 205 ,1, 181 ,1,1.5, 144 ,1.5, 154 ,2, 152 ,2,5," 1,251 ",0.5, 254 ,3.5, 233 ,1.5, 20 ,1, 198 ,2,3," 1,487 ", 2.5 , 124 , 2.0 , 296 , 1.0 , 236 
A12402,RANDOM PRACTICE 58,ADDRESS LINE ONE - 58,58 MAIN STREET,CITY NAME 58,REGION NAME 58,NE28 0PP,01291 567890,432229,567515,-1.496109,55.00109," 6,909 "," 2,303 ", 1 , 2 ,18.5%,41.1%,34.3%,6.2%,2,3,2.5,1.5, 247 ,3.5, 235 ,4, 236 ,3.5,4, 143 ,3, 231 ,2, 216 ,5,4, 207 ,5, 201 ,5, 207 ,2,1.5," 1,294 ",4, 331 ,2.5, 326 ,1, 9 ,3, 370 ,2.5,3," 1,693 ", 3.0 , 136 , 2.5 , 335 , 1.0 , 271 
A12403,RANDOM PRACTICE 59,ADDRESS LINE ONE - 59,59 MAIN STREET,CITY NAME 59,REGION NAME 59,NE28 7LP,01292 567890,430053,566564,-1.530229,54.99268," 4,930 ", 822 , 2 , 4 ,16.4%,41.3%,34.1%,8.2%,1.5,3.5,4.5,4, 178 ,4.5, 171 ,4.5, 174 ,3.5,2, 91 ,4.5, 178 ,4.5, 162 ,4,3.5, 155 ,3, 157 ,3.5, 161 ,2.5,4.5, 971 ,2, 263 ,0.5, 243 ,5, 11 ,3.5, 205 ,2,2," 1,272 ", 2.0 , 109 , 2.0 , 258 , 1.0 , 204 
A12404,RANDOM PRACTICE 60,ADDRESS LINE ONE - 60,60 MAIN STREET,CITY NAME 60,REGION NAME 60,NE29 6HT,01293 567890,433693,567492,-1.473224,55.000786," 4,821 "," 1,205 ", 2 , 2 ,22.4%,48.0%,24.8%,4.8%,1,4,4.5,4.5, 153 ,4, 151 ,4.5, 153 ,4,2.5, 86 ,4.5, 153 ,4.5, 141 ,4.5,2, 106 ,4.5, 115 ,4, 116 ,3.5,4, 946 ,2, 151 ,3, 246 ,5, 8 ,2, 159 ,3,4.5, 943 , 3.0 , 94 , 3.0 , 208 , 2.0 , 156 
A12405,RANDOM PRACTICE 61,ADDRESS LINE ONE - 61,61 MAIN STREET,CITY NAME 61,REGION NAME 61,NE26 1DU,01294 567890,435211,572162,-1.448917,55.04265," 4,581 "," 1,145 ", 2 , 2 ,19.3%,35.9%,35.7%,9.1%,4,4,5,4.5, 159 ,5, 157 ,5, 159 ,5,4.5, 88 ,5, 159 ,4.5, 151 ,4.5,3, 113 ,4, 108 ,4, 121 ,3,3.5, 964 ,3.5, 167 ,3, 177 ,2, 17 ,3, 186 ,2,2," 1,212 ", 2.5 , 98 , 2.5 , 222 , 1.0 , 173 
A12406,RANDOM PRACTICE 62,ADDRESS LINE ONE - 62,62 MAIN STREET,CITY NAME 62,REGION NAME 62,NE12 6HS,01295 567890,427941,571494,-1.56276,55.037108," 5,236 "," 1,047 ", 2 , 3 ,17.9%,39.5%,34.8%,7.8%,3,3.5,3.5,3, 182 ,4, 182 ,4, 183 ,3,2, 92 ,4, 181 ,3.5, 164 ,3.5,3.5, 142 ,3.5, 140 ,3, 147 ,4,2.5," 1,050 ",3.5, 234 ,4, 300 ,5, 1 ,3, 226 ,2.5,2.5," 1,344 ", 2.5 , 113 , 2.0 , 268 , 3.0 , 148 
A12407,RANDOM PRACTICE 63,ADDRESS LINE ONE - 63,63 MAIN STREET,CITY NAME 63,REGION NAME 63,NE12 6HS,01296 567890,427941,571494,-1.56276,55.037108," 4,635 "," 1,159 ", 1 , 3 ,18.8%,42.3%,33.6%,5.3%,3,2.5,2,2.5, 155 ,4, 150 ,0.5, 160 ,4.5,4.5, 89 ,3.5, 157 ,3.5, 144 ,1,3, 122 ,1.5, 111 ,1, 114 ,1.5,4," 1,039 ",1, 161 ,1.5, 198 ,1, 18 ,2.5, 178 ,4,3.5," 1,062 ", 4.0 , 76 , 4.0 , 178 , 4.0 , 108 
A12408,RANDOM PRACTICE 64,ADDRESS LINE ONE - 64,64 MAIN STREET,CITY NAME 64,REGION NAME 64,NE28 9DX,01297 567890,431061,568097,-1.514307,55.006395," 1,733 ", 289 , 3 , 3 ,22.6%,52.8%,22.7%,1.8%,2,5,5,5, 21 ,5, 21 ,5, 21 ,5,4.5, 16 ,5, 21 ,5, 20 ,5,2.5, 15 ,5, 15 ,5, 15 ,5,4.5, 350 ,5, 22 ,5, 96 ,5, 3 ,3.5, 29 ,4.5,5, 259 , 5.0 , 17 , 5.0 , 40 , 3.5 , 41 
A12409,RANDOM PRACTICE 65,ADDRESS LINE ONE - 65,65 MAIN STREET,CITY NAME 65,REGION NAME 65,TS26 8DB,01298 567890,450538,532513,-1.216,54.685019," 3,616 "," 1,808 ", 1 , 1 ,18.8%,40.8%,34.1%,6.2%,0.5,2.5,4,2, 121 ,5, 124 ,5, 124 ,2,1.5, 73 ,2.5, 121 ,1.5, 107 ,2,2, 93 ,2.5, 95 ,2.5, 97 ,3,4, 627 ,5, 148 ,3, 176 ,5, 3 ,0.5, 118 ,2,2.5, 921 , 1.0 , 97 , 1.0 , 236 , 2.5 , 110 
A12410,RANDOM PRACTICE 66,ADDRESS LINE ONE - 66,66 MAIN STREET,CITY NAME 66,REGION NAME 66,TS24 7PW,01299 567890,450765,532203,-1.212533,54.68221," 9,701 "," 1,386 ", 4 , 3 ,18.8%,38.0%,34.7%,8.5%,1.5,3.5,4.5,4, 338 ,5, 328 ,4, 338 ,3.5,3.5, 177 ,3, 339 ,3, 312 ,5,1, 253 ,5, 239 ,5, 252 ,2,2.5," 1,832 ",4, 448 ,1.5, 515 ,1.5, 38 ,3, 348 ,2.5,2.5," 2,485 ", 2.0 , 212 , 2.0 , 501 , 3.0 , 267 
A12411,RANDOM PRACTICE 67,ADDRESS LINE ONE - 67,67 MAIN STREET,CITY NAME 67,REGION NAME 67,TS24 7PW,01300 567890,450765,532203,-1.212533,54.68221," 10,539 "," 1,757 ", 4 , 2 ,16.0%,37.7%,38.4%,7.9%,1.5,2.5,3,2, 367 ,3.5, 344 ,2.5, 368 ,3,5, 216 ,1.5, 359 ,1.5, 326 ,0.5,2.5, 296 ,0.5, 305 ,0.5, 315 ,4.5,4," 1,788 ",2, 570 ,5, 511 ,1.5, 20 ,4, 412 ,1.5,1," 2,980 ", 1.0 , 328 , 1.0 , 770 , 2.0 , 342 
A12412,RANDOM PRACTICE 68,ADDRESS LINE ONE - 68,68 MAIN STREET,CITY NAME 68,REGION NAME 68,TS24 7PW,01301 567890,450765,532203,-1.212533,54.68221," 12,744 "," 1,593 ", 5 , 3 ,16.4%,39.3%,35.9%,8.4%,1.5,2.5,2.5,2.5, 445 ,3, 443 ,2, 448 ,2.5,1, 257 ,4, 454 ,3.5, 420 ,4,4.5, 353 ,3, 363 ,3, 381 ,2.5,3," 2,214 ",3.5, 620 ,3, 620 ,1, 37 ,3, 522 ,1.5,1.5," 3,527 ", 1.0 , 398 , 1.0 , 918 , 2.0 , 406 
A12413,RANDOM PRACTICE 69,ADDRESS LINE ONE - 69,69 MAIN STREET,CITY NAME 69,REGION NAME 69,TS24 9DN,01302 567890,450135,534625,-1.221888,54.704039," 9,546 "," 1,909 ", 3 , 2 ,15.1%,37.5%,39.6%,7.8%,1,2.5,2,1.5, 312 ,2.5, 284 ,2, 304 ,1.5,1, 173 ,2.5, 308 ,2.5, 275 ,2.5,3, 259 ,2.5, 246 ,2.5, 265 ,5,4," 1,518 ",5, 499 ,5, 315 ,5, 28 ,5, 359 ,1.5,1," 2,748 ", 1.0 , 300 , 1.0 , 714 , 2.0 , 320 
A12414,RANDOM PRACTICE 70,ADDRESS LINE ONE - 70,70 MAIN STREET,CITY NAME 70,REGION NAME 70,TS25 1QU,01303 567890,451009,531211,-1.208922,54.673271," 15,051 "," 1,881 ", 5 , 3 ,16.6%,37.7%,37.9%,7.7%,1.5,2.5,1,1, 537 ,1.5, 524 ,1.5, 540 ,2,1.5, 309 ,2, 538 ,3.5, 473 ,3,4, 445 ,2.5, 431 ,2.5, 457 ,4,5," 2,779 ",4, 652 ,0.5, 571 ,5, 15 ,4.5, 564 ,2.5,2," 4,005 ", 2.0 , 331 , 2.0 , 798 , 3.0 , 431 
A12415,RANDOM PRACTICE 71,ADDRESS LINE ONE - 71,71 MAIN STREET,CITY NAME 71,REGION NAME 71,TS26 8DB,01304 567890,450538,532513,-1.216,54.685019," 5,338 "," 2,669 ", 2 , - ,17.2%,37.4%,37.3%,8.1%,1.5,3.5,4,4, 193 ,4.5, 191 ,2.5, 191 ,4.5,4, 110 ,4, 192 ,4, 171 ,4.5,1.5, 159 ,5, 151 ,4.5, 165 ,1.5,0.5, 911 ,1, 259 ,2.5, 175 ,5, 15 ,1.5, 185 ,2,2," 1,434 ", 2.0 , 121 , 1.5 , 293 , 3.0 , 156 
A12416,RANDOM PRACTICE 72,ADDRESS LINE ONE - 72,72 MAIN STREET,CITY NAME 72,REGION NAME 72,TS24 0NZ,01305 567890,452748,533818,-1.181484,54.69652," 5,840 "," 1,947 ", 2 , 1 ,18.4%,37.9%,36.7%,7.0%,1,2.5,2,1.5, 197 ,2, 205 ,4, 203 ,2.5,4, 104 ,1.5, 203 ,1, 189 ,3.5,1, 170 ,4.5, 179 ,4, 186 ,2.5,1, 951 ,2, 285 ,3.5, 216 ,5, 10 ,1, 223 ,1.5,1.5," 1,607 ", 1.0 , 175 , 1.0 , 422 , 2.0 , 190 
A12417,RANDOM PRACTICE 73,ADDRESS LINE ONE - 73,73 MAIN STREET,CITY NAME 73,REGION NAME 73,TS25 3DQ,01306 567890,449354,529786,-1.234827,54.660629," 1,772 ", 443 , 3 , 1 ,24.5%,46.2%,25.2%,4.1%,0.5,4,5,3, 51 ,5, 52 ,5, 53 ,3.5,4.5, 37 ,1, 52 ,3.5, 45 ,3.5,0.5, 43 ,5, 41 ,5, 42 ,4.5,3, 279 ,2.5, 53 ,4, 60 ,5, 4 ,5, 51 ,4,4.5, 344 , 3.5 , 33 , 3.0 , 79 , 4.0 , 40 
A12418,RANDOM PRACTICE 74,ADDRESS LINE ONE - 74,74 MAIN STREET,CITY NAME 74,REGION NAME 74,TS25 1AX,01307 567890,452435,529892,-1.187046,54.661271," 2,777 "," 2,777 ", 1 , - ,16.1%,38.1%,38.3%,7.5%,2.5,4,5,4.5, 97 ,5, 98 ,5, 102 ,5,5, 57 ,4.5, 100 ,3.5, 85 ,4,0.5, 88 ,5, 88 ,5, 88 ,4.5,4.5, 566 ,5, 133 ,4, 112 ,1.5, 11 ,4.5, 117 ,2,1.5, 746 , 2.0 , 61 , 1.5 , 149 , 3.0 , 80 
A12419,RANDOM PRACTICE 75,ADDRESS LINE ONE - 75,75 MAIN STREET,CITY NAME 75,REGION NAME 75,TS26 8DB,01308 567890,450538,532513,-1.216,54.685019," 3,510 "," 1,755 ", 2 , - ,16.6%,40.1%,35.8%,7.5%,1,3,3.5,2.5, 124 ,3, 120 ,4.5, 128 ,4.5,3.5, 65 ,3.5, 126 ,4.5, 109 ,4.5,3.5, 100 ,3.5, 96 ,4.5, 98 ,0.5,0.5, 594 ,2, 151 ,0.5, 144 ,0.5, 5 ,1, 122 ,1.5,2, 920 , 1.0 , 99 , 1.0 , 234 , 2.5 , 107 
A12420,RANDOM PRACTICE 76,ADDRESS LINE ONE - 76,76 MAIN STREET,CITY NAME 76,REGION NAME 76,TS26 8DD,01309 567890,450489,532568,-1.216751,54.685518," 5,237 "," 1,746 ", 2 , 1 ,20.8%,40.4%,30.9%,7.9%,1,3.5,4,3, 178 ,4.5, 166 ,3.5, 181 ,3.5,3, 86 ,3, 179 ,4, 153 ,4,3, 146 ,3.5, 153 ,4, 156 ,3.5,1.5, 843 ,4.5, 223 ,3.5, 277 ,5, 11 ,2, 199 ,2,2.5," 1,312 ", 1.0 , 148 , 1.0 , 344 , 2.5 , 155 
A12421,RANDOM PRACTICE 77,ADDRESS LINE ONE - 77,77 MAIN STREET,CITY NAME 77,REGION NAME 77,TS24 9LJ,01310 567890,450177,535263,-1.221127,54.709769," 6,044 "," 6,044 ", 1 , - ,21.2%,39.1%,33.0%,6.7%,1.5,4,4.5,4.5, 200 ,4.5, 202 ,3.5, 208 ,4,2, 99 ,5, 199 ,4.5, 180 ,4.5,1, 178 ,5, 167 ,5, 178 ,5,4.5," 1,223 ",4.5, 225 ,5, 322 ,5, 19 ,3.5, 204 ,2,2.5," 1,515 ", 1.0 , 163 , 1.0 , 383 , 3.0 , 174 
A12422,RANDOM PRACTICE 78,ADDRESS LINE ONE - 78,78 MAIN STREET,CITY NAME 78,REGION NAME 78,TS26 0US,01311 567890,449317,534465,-1.23461,54.702682," 1,322 ", 331 , 4 , - ,21.3%,39.8%,29.7%,9.2%,3.5,4.5,5,5, 22 ,5, 21 ,5, 22 ,5,5, 15 ,4.5, 22 ,5, 19 ,3.5,0.5, 20 ,5, 20 ,5, 21 ,5,5, 305 ,5, 73 ,5, 73 ,5, 1 ,4, 36 ,3.5,3.5, 292 , 3.5 , 23 , 3.5 , 50 , 4.0 , 28 
A12423,RANDOM PRACTICE 79,ADDRESS LINE ONE - 79,79 MAIN STREET,CITY NAME 79,REGION NAME 79,TS25 2LS,01312 567890,449544,529168,-1.231986,54.655056," 1,542 ", 386 , 1 , 3 ,22.6%,37.6%,32.6%,7.3%,2,4,5,5, 25 ,5, 25 ,5, 25 ,5,5, 16 ,4, 25 ,3.5, 21 ,3,0.5, 20 ,4.5, 21 ,4.5, 22 ,5,5, 301 ,5, 57 ,5, 70 ,5, 3 ,3, 26 ,3,3, 343 , 2.5 , 29 , 2.5 , 69 , 3.5 , 37 
A12424,RANDOM PRACTICE 80,ADDRESS LINE ONE - 80,80 MAIN STREET,CITY NAME 80,REGION NAME 80,TS18 1HU,01313 567890,444139,518708,-1.317341,54.561553," 4,206 "," 2,103 ", 1 , 1 ,15.6%,35.7%,37.2%,11.6%,2,3,2.5,3, 147 ,3.5, 142 ,2, 151 ,3,1, 83 ,5, 149 ,5, 137 ,3.5,2.5, 116 ,3.5, 112 ,3.5, 117 ,4.5,2, 701 ,2, 189 ,4.5, 212 ,5, 10 ,4.5, 177 ,1,1," 1,243 ", 1.0 , 116 , 1.0 , 277 , 1.0 , 189 
A12425,RANDOM PRACTICE 81,ADDRESS LINE ONE - 81,81 MAIN STREET,CITY NAME 81,REGION NAME 81,TS18 2AW,01314 567890,444455,519527,-1.31233,54.568886," 20,558 "," 1,581 ", 8 , 5 ,15.7%,36.5%,38.5%,9.3%,2,3.5,4.5,4.5, 721 ,3.5, 729 ,4, 721 ,4.5,2.5, 460 ,5, 752 ,5, 697 ,4,1.5, 490 ,4.5, 520 ,4.5, 543 ,2,1.5," 3,723 ",2.5," 1,043 ",2.5," 1,161 ",2.5, 57 ,2, 893 ,1.5,1.5," 5,734 ", 1.5 , 497 , 1.0 ," 1,192 ", 1.0 , 867 
